"Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Chaos","Call Trump Passed Tests","Discard Card Passed Tests","Play Card Passed Tests","CallTrump Win Rate","Discard Win Rate","Play Win Rate"
"perfect","","","","","","1.0","24","16","15","","",""
"gen1.1","1000","0.25","100","16","10","0.979","9","10","6","0.4432","0.4998","0.5006"
"gen1.2","1000","0.7","100","16","10","0.97796","14","10","4","0.4906","0.4968","0.5198"
"gen1.3","1000","1.15","100","16","10","0.976","8","8","6","0.5002","0.4968","0.5228"
"gen1.4","1000","0.25","200","16","10","0.9772","9","10","4","0.4944","0.5018","0.497"
"gen1.5","1000","0.7","200","16","10","0.97868","15","10","6","0.5014","0.4944","0.5174"
"gen1.6","1000","1.15","200","16","10","0.97688","10","11","7","0.5338","0.5106","0.5078"
"gen1.7","1000","0.25","300","16","10","0.97764","11","10","4","0.5008","0.5058","0.4876"
"gen1.8","1000","0.7","300","16","10","0.97708","17","10","7","0.5006","0.4838","0.5054"
"gen1.9","1000","1.15","300","16","10","0.97524","10","9","11","0.502","0.497","0.5062"
"gen1.10","1000","0.25","100","16","25","0.97852","9","10","6","0.4566","0.4964","0.5146"
"gen1.11","1000","0.7","100","16","25","0.97732","14","10","4","0.466","0.507","0.5148"
"gen1.12","1000","1.15","100","16","25","0.97596","8","5","6","0.4974","0.4998","0.5018"
"gen1.13","1000","0.25","200","16","25","0.97772","11","10","4","0.4952","0.5104","0.4966"
"gen1.14","1000","0.7","200","16","25","0.977","18","11","6","0.511","0.496","0.5048"
"gen1.15","1000","1.15","200","16","25","0.97576","11","7","7","0.5216","0.4952","0.5222"
"gen1.16","1000","0.25","300","16","25","0.97624","11","10","4","0.489","0.504","0.4878"
"gen1.17","1000","0.7","300","16","25","0.97684","16","11","7","0.5068","0.5036","0.4986"
"gen1.18","1000","1.15","300","16","25","0.97588","10","7","11","0.4936","0.4844","0.5"
"gen1.19","1000","0.25","100","16","40","0.97832","9","10","6","0.4592","0.496","0.5006"
"gen1.20","1000","0.7","100","16","40","0.97828","14","11","4","0.5004","0.5112","0.5214"
"gen1.21","1000","1.15","100","16","40","0.975","8","5","6","0.5226","0.4994","0.507"
"gen1.22","1000","0.25","200","16","40","0.97848","11","10","4","0.4932","0.5018","0.4858"
"gen1.23","1000","0.7","200","16","40","0.97676","16","12","6","0.5206","0.5132","0.5088"
"gen1.24","1000","1.15","200","16","40","0.97728","10","10","7","0.5248","0.4964","0.5066"
"gen1.25","1000","0.25","300","16","40","0.97788","11","10","4","0.5022","0.4962","0.4834"
"gen1.26","1000","0.7","300","16","40","0.97816","18","11","7","0.5062","0.5158","0.502"
"gen1.27","1000","1.15","300","16","40","0.97844","17","5","11","0.5142","0.496","0.4892"
"gen1.28","1000","0.25","100","32","10","0.9784","9","9","5","0.4804","0.4904","0.5054"
"gen1.29","1000","0.7","100","32","10","0.97604","14","12","11","0.5276","0.5076","0.5218"
"gen1.30","1000","1.15","100","32","10","0.97608","15","7","9","0.5316","0.5072","0.5304"
"gen1.31","1000","0.25","200","32","10","0.97732","9","9","5","0.49","0.5008","0.496"
"gen1.32","1000","0.7","200","32","10","0.97804","12","12","11","0.551","0.5046","0.5106"
"gen1.33","1000","1.15","200","32","10","0.97528","15","9","6","0.5178","0.4944","0.4968"
"gen1.34","1000","0.25","300","32","10","0.9788","12","9","3","0.49","0.5022","0.4818"
"gen1.35","1000","0.7","300","32","10","0.9786","12","12","11","0.523","0.5044","0.4998"
"gen1.36","1000","1.15","300","32","10","0.97476","13","9","4","0.4834","0.4878","0.4794"
"gen1.37","1000","0.25","100","32","25","0.97756","9","10","5","0.473","0.4994","0.5172"
"gen1.38","1000","0.7","100","32","25","0.97888","10","11","11","0.5308","0.5024","0.5278"
"gen1.39","1000","1.15","100","32","25","0.97528","15","10","9","0.5266","0.498","0.5182"
"gen1.40","1000","0.25","200","32","25","0.97812","10","11","5","0.5106","0.4884","0.4976"
"gen1.41","1000","0.7","200","32","25","0.97848","11","12","11","0.5428","0.491","0.5146"
"gen1.42","1000","1.15","200","32","25","0.9766","15","10","6","0.483","0.4948","0.5166"
"gen1.43","1000","0.25","300","32","25","0.97592","12","11","3","0.4912","0.501","0.4896"
"gen1.44","1000","0.7","300","32","25","0.97684","11","12","11","0.5384","0.5066","0.4916"
"gen1.45","1000","1.15","300","32","25","0.97468","17","8","4","0.4696","0.4972","0.4936"
"gen1.46","1000","0.25","100","32","40","0.97776","11","10","5","0.497","0.511","0.5032"
"gen1.47","1000","0.7","100","32","40","0.97712","12","10","11","0.5166","0.4952","0.5162"
"gen1.48","1000","1.15","100","32","40","0.975","15","11","9","0.538","0.4992","0.4986"
"gen1.49","1000","0.25","200","32","40","0.97772","12","10","5","0.493","0.5046","0.491"
"gen1.50","1000","0.7","200","32","40","0.976","13","13","11","0.5298","0.4954","0.5204"
"gen1.51","1000","1.15","200","32","40","0.97576","15","9","6","0.529","0.4986","0.5062"
"gen1.52","1000","0.25","300","32","40","0.97884","13","10","3","0.4726","0.4986","0.4862"
"gen1.53","1000","0.7","300","32","40","0.97792","11","14","11","0.5216","0.4978","0.5068"
"gen1.54","1000","1.15","300","32","40","0.9744","14","9","4","0.4866","0.4942","0.4858"
"gen1.55","1000","0.25","100","64","10","0.97776","11","7","5","0.5298","0.5106","0.5316"
"gen1.56","1000","0.7","100","64","10","0.97648","14","11","5","0.5586","0.504","0.5164"
"gen1.57","1000","1.15","100","64","10","0.97396","15","11","5","0.539","0.492","0.5168"
"gen1.58","1000","0.25","200","64","10","0.97872","10","10","6","0.5138","0.5144","0.4974"
"gen1.59","1000","0.7","200","64","10","0.97732","12","11","5","0.5082","0.4994","0.5136"
"gen1.60","1000","1.15","200","64","10","0.97496","11","11","3","0.4972","0.494","0.5094"
"gen1.61","1000","0.25","300","64","10","0.97864","10","11","8","0.497","0.4932","0.4846"
"gen1.62","1000","0.7","300","64","10","0.97596","11","11","7","0.5016","0.4946","0.4908"
"gen1.63","1000","1.15","300","64","10","0.97344","14","12","5","0.4426","0.5158","0.4784"
"gen1.64","1000","0.25","100","64","25","0.97788","11","9","5","0.5278","0.5024","0.5034"
"gen1.65","1000","0.7","100","64","25","0.97724","11","11","5","0.5622","0.4944","0.5098"
"gen1.66","1000","1.15","100","64","25","0.9746","8","13","5","0.5472","0.497","0.5242"
"gen1.67","1000","0.25","200","64","25","0.97824","10","9","6","0.5282","0.5054","0.5036"
"gen1.68","1000","0.7","200","64","25","0.97636","13","12","5","0.5504","0.4892","0.5182"
"gen1.69","1000","1.15","200","64","25","0.9738","12","13","3","0.5166","0.4934","0.5072"
"gen1.70","1000","0.25","300","64","25","0.977","8","12","8","0.5034","0.5058","0.4934"
"gen1.71","1000","0.7","300","64","25","0.97764","13","12","7","0.5026","0.51","0.4986"
"gen1.72","1000","1.15","300","64","25","0.97224","15","13","5","0.4408","0.4846","0.4806"
"gen1.73","1000","0.25","100","64","40","0.978","9","11","5","0.529","0.499","0.4982"
"gen1.74","1000","0.7","100","64","40","0.97784","12","11","5","0.5312","0.492","0.5216"
"gen1.75","1000","1.15","100","64","40","0.97412","8","9","5","0.5362","0.4912","0.528"
"gen1.76","1000","0.25","200","64","40","0.97916","12","10","6","0.5138","0.4966","0.4804"
"gen1.77","1000","0.7","200","64","40","0.97552","11","9","5","0.533","0.5044","0.508"
"gen1.78","1000","1.15","200","64","40","0.9752","9","9","6","0.4996","0.498","0.4994"
"gen1.79","1000","0.25","300","64","40","0.97884","11","10","8","0.4988","0.4868","0.4846"
"gen1.80","1000","0.7","300","64","40","0.9756","9","8","7","0.5082","0.487","0.4932"
"gen1.81","1000","1.15","300","64","40","0.97384","5","8","6","0.464","0.4912","0.479"
